diamond  17 站点信息2416站  2416
56961  2302  10103 1321.3  32 1 宁洱
56962  2325  10140 1315.3  32 1 墨江
56964  2247  10058 1302.9  2 1 思茅
56966  2336  10159 401.6  4 1 元江
56969  2129  10134 633.2  16 1 勐腊
56970  2342  10229 1419.9  32 1 石屏
56973  2337  10250 1310.0  32 1 建水
56975  2322  10226 975.9  32 1 红河
56976  2314  10250 229.4  32 1 元阳
56977  2235  10151 1121.0  16 1 江城
56978  2300  10225 1640.7  32 1 绿春
56982  2342  10315 1055.8  32 1 开远
56984  2323  10309 1717.7  32 1 个旧
56985  2323  10323 1305.3  4 1 蒙自
56986  2259  10341 1412.1  2 1 屏边
56987  2247  10314 1261.1  32 1 金平
56989  2230  10357 138.3  32 1 河口
56991  2337  10420 1561.1  32 1 砚山
56992  2327  10442 1508.1  32 1 西畴
56994  2323  10415 1277.1  16 1 文山
56995  2302  10425 1335.4  32 1 马关
56996  2308  10442 1094.0  32 1 麻栗坡
57001  3445  10520 1273.0  32 1 甘谷
57002  3451  10539 1217.3  32 1 秦安
57003  3454  10650 925.1  32 1 陇县
57004  3444  10453 1496.0  32 1 武山
57006  3435  10545 1142.4  4 1 天水
57007  3411  10511 1406.0  32 1 礼县
57008  3402  10518 1578.9  32 1 西和
57011  3445  10609 1379.0  32 1 清水
57012  3459  10612 1665.8  32 1 张家川
57014  3434  10552 1085.9  32 1 麦积
57016  3421  10708 613.7  4 1 宝鸡
57020  3422  10724 563.7  32 1 宝鸡县
57021  3439  10708 751.5  32 1 千阳
57022  3441  10747 1026.4  32 1 麟游
57023  3502  10806 841.5  32 1 彬县
57024  3427  10739 671.1  32 1 岐山
57025  3431  10723 782.7  32 1 凤翔
57026  3422  10753 586.9  32 1 扶风
57027  3416  10744 518.4  32 1 眉县
57028  3402  10719 1544.4  32 1 太白
57029  3430  10829 544.4  32 1 礼泉
57030  3442  10809 995.4  32 1 永寿
57031  3449  10833 1013.5  32 1 淳化
57032  3408  10812 436.8  32 1 周至
57033  3433  10849 429.0  32 1 泾阳
57034  3415  10813 449.2  16 1 武功
57035  3433  10814 636.7  32 1 乾县
57036  3418  10856 398.6  2 1 西安
57037  3456  10859 711.8  32 1 耀县
57038  3417  10827 411.5  32 1 兴平
57039  3405  10853 445.8  32 1 长安
57040  3431  10905 378.9  32 1 高陵
57041  3438  10855 425.2  32 1 三原
57042  3447  10911 473.1  32 1 富平
57043  3448  10958 352.3  32 1 大荔
57044  3424  10914 424.8  32 1 临潼
57045  3431  10929 354.3  32 1 渭南
57046  3429  11005 2057.9  16 1 华山
57047  3410  10919 541.5  32 1 蓝田
57048  3424  10843 473.4  32 1 秦都
57049  3431  10944 342.3  32 1 华县
57051  3448  11112 411.3  32 1 三门峡
57052  3453  11027 355.0  32 1 永济
57053  3442  11043 507.1  32 1 芮城
57054  3433  11014 557.1  32 1 潼关
57055  3433  11005 352.9  32 1 华阴
57056  3432  11053 390.9  32 1 灵宝
57057  3406  11009 961.8  32 1 洛南
57060  3510  11114 404.2  32 1 夏县
57061  3450  11112 411.3  32 1 平陆
57063  3446  11146 524.4  32 1 渑池
57065  3430  11211 196.4  32 1 宜阳
57066  3423  11140 329.7  32 1 洛宁
57067  3403  11102 569.9  4 1 卢氏
57070  3444  11207 358.5  32 1 新安
57071  3449  11226 333.2  2 1 孟津
57072  3455  11245 128.5  32 1 孟州
57074  3425  11225 198.9  32 1 伊川
57075  3410  11252 203.7  32 1 汝州
57076  3443  11249 190.1  32 1 偃师
57077  3347  11139 738.8  16 1 栾川
57078  3409  11228 337.5  32 1 汝阳
57079  3457  11302 106.9  32 1 温县
57080  3444  11258 166.0  32 1 巩义
57081  3448  11326 141.8  32 1 荥阳
57082  3428  11301 428.3  32 1 登封
57083  3443  11339 111.3  1 1 郑州
57084  3430  11303 1180.5  32 1 嵩山
57085  3433  11322 289.3  32 1 新密
57086  3423  11343 116.5  32 1 新郑
57087  3412  11348 88.5  32 1 长葛
57088  3409  11330 117.7  32 1 禹州
57089  3402  11352 68.1  16 1 许昌
57090  3443  11358 79.9  32 1 中牟
57091  3447  11418 74.1  16 1 开封
57093  3451  11449 74.0  32 1 兰考
57094  3424  11413 71.1  32 1 尉氏
57095  3407  11409 61.7  32 1 鄢陵
57096  3432  11447 60.7  32 1 杞县
57098  3405  11424 59.3  32 1 扶沟
57099  3404  11451 53.6  32 1 太康
57102  3345  10543 971.1  32 1 成县
57105  3320  10536 1219.9  32 1 康县
57106  3319  10609 797.3  16 1 略阳
57110  3347  10605 930.1  32 1 徽县
57111  3355  10618 967.0  32 1 两当
57113  3354  10632 990.6  32 1 凤县
57119  3310  10642 551.9  32 1 勉县
57123  3417  10804 510.6  6 1 杨凌
57124  3338  10656 1031.6  32 1 留坝
57126  3313  10733 470.8  32 1 洋县
57127  3304  10702 509.8  2 1 汉中
57128  3310  10720 487.0  32 1 城固
57129  3259  10743 447.5  32 1 西乡
57131  3426  10858 411.0  6 1 泾河
57132  3407  10837 415.0  32 1 户县
57134  3331  10759 827.9  16 1 佛坪
57137  3319  10819 801.9  32 1 宁陕
57140  3340  10907 818.8  32 1 柞水
57143  3352  10958 743.8  16 1 商县
57144  3326  10909 696.2  16 1 镇安
57153  3341  11020 584.0  32 1 丹凤
57154  3332  11054 523.8  32 1 商南
57155  3333  10952 661.0  32 1 山阳
57156  3318  11130 252.0  16 1 西峡
57162  3409  11205 327.5  32 1 嵩县
57169  3303  11152 160.0  32 1 内乡
57173  3345  11253 147.5  32 1 鲁山
57175  3303  11214 192.0  32 1 镇平
57176  3329  11225 230.4  32 1 南召
57177  3320  11332 91.3  32 1 舞钢
57178  3302  11235 130.7  8 1 南阳
57179  3317  11300 161.5  32 1 方城
57180  3359  11312 118.6  32 1 郏县
57181  3353  11303 137.5  16 1 宝丰
57182  3351  11330 81.4  32 1 襄城
57183  3348  11355 61.5  32 1 临颍
57184  3338  11322 84.7  32 1 叶县
57185  3327  11335 92.3  32 1 舞阳
57186  3336  11403 59.3  32 1 漯河
57187  3304  11256 119.0  32 1 社旗
57188  3322  11402 56.7  32 1 西平
57189  3308  11357 65.5  32 1 遂平
57190  3345  11424 51.9  32 1 黄泛区农试站
57191  3429  11429 64.2  32 1 通许
57192  3344  11451 47.0  32 1 淮阳
57193  3347  11431 53.9  4 1 西华
57194  3317  11416 60.8  32 1 上蔡
57195  3337  11437 47.6  32 1 川汇区
57196  3328  11452 42.8  32 1 项城
57197  3300  11420 54.4  32 1 汝南
57198  3333  11437 47.3  32 1 商水
57204  3235  10514 801.8  32 1 青川
57206  3226  10551 513.5  32 1 广元
57208  3201  10528 538.0  32 1 剑阁
57211  3250  10615 832.9  32 1 宁强
57213  3300  10656 537.5  32 1 南郑
57216  3221  10650 577.2  32 1 南江
57217  3214  10617 493.0  32 1 旺苍
57231  3232  10832 504.9  32 1 紫阳
57232  3303  10816 485.0  16 1 石泉
57233  3254  10830 413.0  32 1 汉阴
57237  3204  10802 674.0  4 1 万源
57238  3232  10754 694.6  32 1 镇巴
57242  3251  10922 285.5  32 1 旬阳
57245  3243  10902 291.2  4 1 安康
57247  3219  10854 442.7  32 1 岚皋
57248  3224  10920 429.9  32 1 平利
57249  3219  10941 453.7  32 1 竹溪
57251  3300  11025 249.9  16 1 郧西
57253  3251  11049 204.0  32 1 郧县
57254  3249  11007 324.3  32 1 白河
57256  3239  11046 286.9  32 1 十堰
57257  3214  11014 309.3  32 1 竹山
57259  3203  11045 427.1  16 1 房县
57260  3233  11131 143.9  32 1 丹江口
57261  3308  11130 196.2  32 1 淅川
57265  3223  11141 91.2  2 1 老河口
57268  3216  11138 87.8  32 1 谷城
57271  3233  11223 89.5  32 1 新野
57273  3241  11251 110.5  32 1 唐河
57274  3242  11207 108.6  32 1 邓州
57278  3202  11210 69.6  32 1 襄樊
57279  3208  11245 127.0  16 1 枣阳
57281  3242  11318 142.5  32 1 泌阳
57285  3223  11325 149.1  32 1 桐柏
57290  3300  11401 83.8  16 1 驻马店
57292  3258  11438 44.6  32 1 平舆
57293  3244  11459 39.1  32 1 新蔡
57294  3250  11401 84.4  32 1 确山
57295  3237  11421 83.9  32 1 正阳
57296  3221  11444 50.1  32 1 息县
57297  3208  11403 115.1  2 1 信阳
57298  3213  11433 56.2  32 1 罗山
57299  3201  11454 50.6  32 1 光山
57303  3144  10555 460.1  32 1 苍溪
57304  3140  10510 517.7  32 1 梓潼
57306  3135  10558 385.4  16 1 阆中
57307  3106  10505 408.0  32 1 三台
57308  3113  10523 421.7  32 1 盐亭
57309  3059  10553 375.9  32 1 西充
57313  3152  10646 416.3  16 1 巴中
57314  3121  10604 385.8  32 1 南部
57315  3132  10624 658.2  32 1 仪陇
57317  3102  10625 323.5  32 1 蓬安
57318  3104  10633 339.6  32 1 营山
57320  3156  10713 483.1  32 1 通江
57324  3135  10705 363.3  32 1 平昌
57326  3122  10743 390.2  32 1 宣汉
57328  3112  10730 344.3  2 1 达县
57329  3106  10751 462.0  32 1 开江
57333  3157  10840 800.0  32 1 城口
57338  3111  10825 213.2  32 1 开县
57339  3057  10841 296.4  32 1 云阳
57343  3154  10932 994.5  32 1 镇坪
57345  3124  10937 339.8  32 1 巫溪
57348  3101  10932 300.3  4 1 奉节
57349  3104  10952 270.8  32 1 巫山
57355  3103  11021 335.0  32 1 巴东
57358  3050  11058 295.8  32 1 秭归
57359  3121  11044 333.4  32 1 兴山
57361  3153  11116 331.0  32 1 保康
57362  3145  11040 939.3  32 1 神农架
57363  3148  11150 146.0  32 1 南漳
57368  3103  11138 138.9  32 1 远安
57370  3144  11213 68.3  32 1 宜城
57377  3100  11213 184.8  32 1 荆门
57378  3110  11235 66.2  4 1 钟祥
57381  3137  11320 113.5  32 1 随州
57385  3138  11349 94.6  16 1 广水
57386  3115  11400 37.8  6 1 孝昌
57387  3100  11308 80.3  32 1 京山
57388  3116  11342 55.5  32 1 安陆
57389  3102  11345 33.5  32 1 云梦
57390  3148  11404 731.0  32 1 鸡公山
57395  3134  11407 71.8  32 1 大悟
57396  3138  11451 130.4  32 1 新县
57398  3117  11437 76.9  32 1 红安
57399  3111  11501 63.4  16 1 麻城
57401  3052  10522 380.1  32 1 射洪
57402  3046  10542 395.3  32 1 蓬溪
57405  3030  10533 355.1  16 1 遂宁
57407  3017  10502 464.6  32 1 乐至
57408  3007  10521 333.2  32 1 安岳
57409  3011  10548 295.5  32 1 潼南
57411  3047  10606 309.1  4 1 高坪
57413  3051  10658 295.9  32 1 渠县
57414  3033  10627 396.0  32 1 岳池
57415  3028  10638 336.4  32 1 广安
57416  3020  10656 3915.0  32 1 邻水
57417  3021  10617 315.1  32 1 武胜
57420  3045  10712 397.4  32 1 大竹
57425  3020  10720 430.5  32 1 垫江
57426  3041  10748 459.4  16 1 梁平
57431  3050  10821 256.8  32 1 天城
57432  3046  10824 188.8  16 1 万州
57437  3018  10802 326.3  32 1 忠县
57438  2959  10807 630.3  32 1 石柱
57439  3017  10856 1072.5  32 1 利川
57445  3036  10943 612.1  32 1 建始
57447  3017  10928 458.0  4 1 恩施
57453  3046  11119 116.8  32 1 夷陵区
57458  3012  11040 616.8  16 1 五峰
57460  3049  11147 91.5  32 1 当阳
57461  3042  11118 134.3  2 1 宜昌
57462  3052  11105 104.6  32 1 三峡
57464  3028  11111 144.2  32 1 长阳
57465  3023  11127 76.3  32 1 宜都
57466  3026  11146 50.7  32 1 枝江
57469  3011  11146 68.7  32 1 松滋
57475  3024  11254 33.0  32 1 潜江
57476  3021  11209 33.4  16 1 荆州
57477  3004  11213 39.3  32 1 公安
57481  3057  11335 31.5  32 1 应城
57482  3054  11357 26.1  32 1 孝感
57483  3040  11310 35.9  32 1 天门
57485  3022  11327 33.3  32 1 仙桃
57486  3039  11351 25.9  32 1 汉川
57489  3035  11400 39.4  32 1 蔡甸
57491  3052  11424 31.9  32 1 黄陂
57492  3050  11448 33.3  32 1 新洲
57493  3020  11420 73.0  32 1 江夏
57494  3036  11403 24.5  2 1 武汉
57495  3040  11453 19.6  6 1 团风
57496  3022  11452 30.1  32 1 鄂州
57498  3026  11454 22.3  32 1 黄冈
57499  3006  11458 40.7  32 1 大冶
57502  2942  10542 395.3  32 1 大足
57503  2937  10507 351.4  32 1 东兴区
57505  2925  10535 324.0  32 1 荣昌
57506  2922  10554 376.3  32 1 永川
57507  2920  10518 374.2  32 1 隆昌
57508  2909  10522 302.2  32 1 泸县
57509  2857  10656 325.3  32 1 万盛
57510  2951  10603 275.5  32 1 铜梁
57511  2951  10627 242.9  32 1 北碚
57512  2958  10617 231.1  32 1 合川
57513  2944  10637 457.9  32 1 渝北
57514  2935  10613 325.0  32 1 璧山
57516  2935  10628 260.4  1 1 沙坪坝
57517  2917  10615 256.3  32 1 江津
57518  2923  10632 243.8  32 1 巴南
57519  2909  10705 559.5  32 1 南川
57520  2950  10704 379.4  32 1 长寿
57522  2945  10725 273.1  16 1 涪陵
57523  2951  10744 290.4  32 1 丰都
57525  2919  10745 273.3  32 1 武隆
57536  2932  10847 608.8  32 1 黔江
57537  2918  10810 321.5  32 1 彭水
57540  2941  10909 776.9  32 1 咸丰
57541  3000  10929 533.4  32 1 宣恩
57543  2953  11002 540.7  32 1 鹤峰
57544  2928  10927 486.9  32 1 龙山
57545  2932  10925 499.8  16 1 来凤
57554  2924  11010 320.9  16 1 桑植
57558  2908  11028 184.5  32 1 张家界
57562  2935  11122 116.8  16 1 石门
57564  2926  11108 103.8  32 1 慈利
57565  2939  11145 39.6  32 1 澧县
57566  2927  11139 50.7  32 1 临澧
57571  2942  11224 37.0  32 1 石首
57573  2950  11255 34.1  32 1 监利
57574  2922  11224 35.8  16 1 南县
57575  2931  11234 32.7  32 1 华容
57577  2924  11210 37.5  32 1 安乡
57581  2949  11327 27.5  32 1 洪湖
57582  2944  11353 51.0  32 1 赤壁
57583  2959  11355 36.5  16 1 嘉鱼
57584  2923  11305 49.7  16 1 岳阳
57585  2929  11327 60.2  32 1 临湘
57586  2932  11402 79.2  32 1 崇阳
57589  2915  11348 103.5  32 1 通城
57590  2951  11422 64.7  32 1 咸宁
57595  2936  11430 76.6  32 1 通山
57596  2938  11412 0.0  6 1 金沙
57598  2902  11435 147.4  4 1 修水
57600  2843  10504 256.7  32 1 江安
57603  2849  10550 283.4  32 1 合江
57604  2847  10523 369.4  32 1 纳溪
57605  2802  10549 539.0  32 1 古蔺
57606  2808  10650 972.5  16 1 桐梓
57608  2810  10526 378.6  16 1 叙永
57609  2835  10542 316.5  32 1 赤水
57612  2901  10639 255.3  32 1 綦江
57614  2820  10613 1179.0  32 1 习水
57623  2853  10736 684.6  32 1 道真
57625  2833  10727 678.2  32 1 正安
57633  2850  10846 665.2  4 1 酉阳
57634  2831  10753 658.0  32 1 务川
57635  2827  10859 363.6  32 1 秀山
57636  2834  10830 335.4  32 1 沿河
57637  2815  10807 524.2  32 1 德江
57640  2835  10927 344.6  32 1 花垣
57642  2842  10938 323.5  32 1 保靖
57643  2900  10950 268.6  32 1 永顺
57646  2837  10957 301.8  32 1 古丈
57647  2809  10911 406.9  32 1 松桃
57649  2819  10944 207.4  16 1 吉首
57655  2828  11024 151.4  4 1 沅陵
57657  2813  11012 182.8  32 1 泸溪
57658  2801  11012 144.4  32 1 辰溪
57661  2855  11129 51.5  32 1 桃源
57662  2903  11141 34.6  4 1 常德
57663  2855  11157 31.5  32 1 汉寿
57666  2831  11208 49.0  32 1 桃江
57669  2823  11113 129.4  16 1 安化
57671  2851  11222 35.5  16 1 沅江
57673  2841  11253 54.6  32 1 湘阴
57674  2834  11228 44.1  32 1 赫山
57678  2815  11233 71.4  32 1 宁乡
57679  2812  11305 45.7  1 1 马坡岭
57680  2848  11304 47.1  32 1 汨罗
57682  2843  11334 105.0  16 1 平江
57687  2813  11255 66.9  1 1 长沙
57688  2809  11338 100.3  32 1 浏阳
57694  2832  11423 256.2  32 1 铜鼓
57696  2824  11447 91.4  32 1 宜丰
57698  2807  11427 99.5  32 1 万载
57699  2814  11455 68.0  32 1 上高
57707  2718  10517 1511.5  4 1 毕节
57708  2709  10536 1704.0  32 1 大方
57710  2748  10624 890.3  32 1 仁怀
57712  2744  10657 983.8  32 1 汇川
57713  2742  10653 844.0  4 1 遵义
57714  2728  10614 942.8  32 1 金沙
57717  2732  10650 974.5  32 1 遵义县
57718  2706  10644 1040.5  32 1 息烽
57719  2704  10658 1280.7  32 1 开阳
57720  2753  10710 888.2  32 1 绥阳
57722  2746  10728 792.9  32 1 湄潭
57723  2759  10743 710.5  32 1 凤冈
57728  2704  10728 1095.5  32 1 瓮安
57729  2714  10753 621.3  32 1 余庆
57731  2757  10815 417.7  4 1 思南
57732  2801  10824 458.0  32 1 印江
57734  2734  10814 468.5  32 1 石阡
57735  2711  10849 396.5  32 1 岑巩
57736  2742  10851 376.2  32 1 江口
57737  2702  10807 546.8  32 1 施秉
57738  2703  10825 517.0  32 1 镇远
57739  2714  10853 375.6  32 1 玉屏
57740  2757  10936 349.7  32 1 凤凰
57741  2743  10911 283.5  32 1 铜仁
57742  2731  10912 883.4  32 1 万山
57743  2753  10948 176.5  32 1 麻阳
57744  2722  10910 356.1  32 1 新晃
57745  2727  10941 273.2  2 1 芷江
57749  2734  11000 261.2  16 1 怀化
57752  2755  11036 203.9  32 1 溆浦
57754  2721  11009 170.7  32 1 洪江
57758  2704  11035 323.0  32 1 洞口
57760  2742  11126 247.3  32 1 冷水江
57761  2745  11118 213.4  32 1 新化
57762  2741  11142 163.4  32 1 涟源
57763  2744  11200 151.1  32 1 娄底
57766  2714  11128 248.2  4 1 邵阳市
57767  2707  11102 266.3  32 1 隆回
57768  2719  11127 242.0  32 1 新邵
57769  2714  11144 257.3  32 1 邵东
57771  2756  11231 89.5  32 1 韶山
57772  2745  11230 84.9  32 1 湘乡
57773  2752  11249 63.9  32 1 湘潭
57774  2727  11210 101.9  16 1 双峰
57776  2718  11242 1268.1  16 1 南岳
57777  2714  11252 65.5  32 1 衡山
57778  2706  11257 68.1  32 1 衡东
57779  2700  11321 100.7  32 1 攸县
57780  2752  11310 72.4  32 1 株洲
57781  2739  11330 71.4  32 1 醴陵
57786  2739  11351 110.0  32 1 萍乡
57789  2708  11357 185.0  32 1 莲花
57792  2749  11441 93.4  32 1 分宜
57793  2748  11423 131.5  16 1 宜春
57796  2748  11456 79.2  32 1 新余
57798  2724  11436 89.2  32 1 安福
57799  2703  11455 70.0  4 1 吉安县
57800  2646  10522 1458.6  32 1 纳雍
57803  2702  10601 1234.0  16 1 黔西
57805  2641  10546 1323.0  32 1 织金
57806  2615  10554 1430.5  16 1 安顺
57807  2612  10528 1359.0  32 1 六枝
57808  2619  10545 1272.6  32 1 普定
57809  2604  10545 1251.7  32 1 镇宁
57811  2651  10636 1242.3  32 1 修文
57813  2634  10628 1265.8  32 1 清镇
57814  2625  10616 1285.9  32 1 平坝
57816  2635  10644 1224.3  2 1 贵阳
57818  2602  10627 1145.3  32 1 长顺
57821  2642  10730 924.6  32 1 福泉
57822  2654  10754 833.8  32 1 黄平
57824  2635  10714 1005.7  32 1 贵定
57825  2636  10759 721.2  16 1 凯里
57827  2619  10732 985.5  32 1 都匀
57828  2630  10735 983.8  32 1 麻江
57829  2612  10748 964.4  32 1 丹寨
57832  2658  10840 627.3  16 1 三穗
57834  2641  10818 642.8  32 1 台江
57835  2643  10826 521.6  32 1 剑河
57837  2624  10804 838.5  32 1 雷山
57839  2614  10909 569.4  32 1 黎平
57840  2656  10912 401.7  32 1 天柱
57841  2634  10940 318.9  32 1 靖州
57842  2653  10943 281.1  32 1 会同
57844  2641  10911 344.9  32 1 锦屏
57845  2610  10947 397.4  16 1 通道
57846  2635  11009 307.1  32 1 绥宁
57851  2627  11051 307.3  32 1 新宁
57853  2644  11038 340.1  16 1 武冈
57857  2622  11019 475.8  32 1 城步
57859  2602  11038 409.0  32 1 资源
57860  2700  11117 282.9  32 1 邵阳县
57865  2628  11135 166.1  32 1 冷水滩
57866  2614  11137 172.1  4 1 永州
57867  2624  11117 169.8  32 1 东安
57868  2636  11152 113.4  32 1 祁阳
57870  2648  11206 151.6  32 1 祁东
57871  2659  11222 91.0  32 1 衡阳县
57872  2654  11236 104.8  16 1 衡阳
57874  2625  11224 116.4  32 1 常宁
57875  2653  11230 71.5  32 1 衡南
57876  2626  11250 118.9  32 1 耒阳
57881  2643  11315 105.0  32 1 安仁
57882  2647  11333 135.3  32 1 茶陵
57883  2645  11417 257.1  16 1 夏坪
57886  2630  11347 226.5  32 1 炎陵
57887  2608  11307 124.1  32 1 永兴
57889  2605  11357 828.4  32 1 桂东
57891  2656  11415 144.6  32 1 永新
57894  2635  11410 841.6  32 1 井冈山
57895  2628  11447 96.8  32 1 万安
57896  2620  11430 125.3  32 1 遂川
57899  2648  11455 66.2  32 1 泰和
57900  2550  10513 1553.6  32 1 晴隆
57902  2526  10511 1379.3  4 1 兴仁
57903  2556  10536 1138.4  32 1 关岭
57905  2524  10538 1063.8  32 1 贞丰
57906  2511  10605 567.0  16 1 望谟
57907  2505  10454 1298.6  32 1 兴义
57908  2507  10529 1393.5  32 1 安龙
57909  2459  10549 584.8  32 1 册亨
57910  2546  10605 1201.3  32 1 紫云
57911  2640  10639 1325.9  32 1 白云
57912  2608  10638 992.2  32 1 惠水
57913  2627  10659 1095.7  32 1 龙里
57914  2625  10640 1143.9  32 1 花溪
57915  2638  10646 1102.6  32 1 乌当
57916  2526  10646 440.1  16 1 罗甸
57921  2550  10719 710.2  32 1 平塘
57922  2550  10733 1015.5  4 1 独山
57923  2559  10752 418.5  32 1 三都
57926  2525  10753 432.9  32 1 荔波
57927  2458  10711 283.4  32 1 天峨
57932  2558  10832 288.8  16 1 榕江
57936  2545  10855 255.0  32 1 从江
57941  2547  10936 198.4  32 1 三江
57942  2548  11000 267.4  32 1 龙胜
57947  2513  10924 122.5  16 1 融安
57948  2505  10915 123.4  32 1 融水
57949  2459  11000 157.0  32 1 永福
57954  2514  11011 158.8  32 1 临桂
57955  2537  11040 224.0  32 1 兴安
57956  2525  11019 169.1  32 1 灵川
57957  2519  11018 163.2  2 1 桂林
57958  2505  11019 152.5  32 1 雁山
57960  2556  11104 192.6  32 1 全州
57962  2558  11139 166.0  32 1 双牌
57964  2530  11109 258.0  32 1 灌阳
57965  2532  11136 191.0  16 1 道县
57966  2536  11157 205.0  32 1 宁远
57969  2516  11120 230.6  32 1 江永
57971  2555  11212 225.1  32 1 新田
57972  2548  11302 187.1  4 1 郴州
57973  2545  11243 328.6  32 1 桂阳
57974  2535  11222 212.6  32 1 嘉禾
57975  2523  11212 278.8  32 1 蓝山
57976  2525  11257 226.4  32 1 宜章
57978  2517  11233 291.0  32 1 临武
57981  2559  11313 141.9  32 1 资兴
57985  2534  11341 608.0  32 1 汝城
57988  2509  11321 103.4  32 1 乐昌
57989  2506  11344 96.0  32 1 仁化
57990  2542  11418 252.1  32 1 崇义
57991  2548  11433 148.4  32 1 上犹
57992  2540  11445 129.4  32 1 南康
57993  2552  11500 138.4  2 1 赣县
57994  2524  11421 208.7  32 1 大余
57995  2524  11456 166.5  32 1 信丰
57996  2508  11419 134.5  16 1 南雄
58001  3426  11506 57.1  32 1 睢县
58002  3451  11535 53.6  32 1 曹县
58003  3457  11553 48.0  32 1 成武
58004  3439  11509 61.4  32 1 民权
58005  3427  11540 51.5  16 1 商丘
58006  3423  11553 47.2  32 1 虞城
58007  3404  11518 53.2  32 1 柘城
58008  3428  11520 55.4  32 1 宁陵
58011  3448  11604 44.3  32 1 单县
58012  3441  11635 40.6  32 1 丰县
58013  3445  11654 40.0  32 1 沛县
58015  3427  11620 44.3  16 1 砀山
58016  3411  11658 39.3  32 1 萧县
58017  3415  11608 42.0  32 1 夏邑
58020  3448  11708 38.5  32 1 微山
58021  3447  11717 80.9  32 1 薛城
58022  3445  11734 48.8  32 1 峄城
58024  3452  11735 78.5  32 1 枣庄
58025  3434  11744 32.3  32 1 台儿庄
58026  3418  11757 24.0  32 1 邳州
58027  3417  11709 42.0  2 1 徐州
58030  3451  11804 47.6  32 1 苍山
58032  3456  11839 75.1  32 1 临沭
58034  3436  11819 37.5  32 1 郯城
58035  3420  11821 30.6  32 1 新沂
58036  3431  11844 39.9  32 1 东海
58038  3405  11847 9.0  32 1 沭阳
58040  3451  11908 10.8  4 1 赣榆
58041  3447  11926 22.0  32 1 西连岛
58044  3432  11914 5.1  32 1 连云港
58045  3412  11936 8.4  32 1 响水
58047  3418  11914 5.1  32 1 灌云
58048  3407  11921 9.1  32 1 灌南
58049  3402  11949 7.8  32 1 滨海
58100  3339  11510 42.6  32 1 郸城
58101  3352  11529 42.0  32 1 鹿邑
58102  3352  11546 42.0  16 1 亳州
58104  3324  11504 42.0  32 1 沈丘
58107  3304  11515 40.4  32 1 临泉
58108  3314  11520 46.9  32 1 界首
58109  3311  11537 37.2  32 1 太和
58111  3358  11627 32.5  32 1 永城
58112  3044  11627 933.0  6 1 天柱山
58113  3356  11645 35.4  32 1 濉溪
58114  3329  11611 29.9  32 1 涡阳
58116  3359  11650 32.2  32 1 淮北
58117  3308  11612 33.0  32 1 利辛
58118  3317  11633 31.3  32 1 蒙城
58122  3338  11659 27.1  16 1 宿州
58125  3333  11733 28.1  32 1 灵璧
58126  3328  11752 24.4  32 1 泗县
58127  3259  11712 23.2  32 1 怀远
58128  3319  11718 23.6  32 1 固镇
58129  3308  11752 20.4  32 1 五河
58130  3356  11758 24.5  32 1 睢宁
58131  3359  11816 28.0  32 1 宿豫
58132  3343  11841 19.0  32 1 泗阳
58135  3329  11813 19.5  32 1 泗洪
58138  3259  11831 42.8  16 1 盱眙
58139  3318  11853 13.9  32 1 洪泽
58140  3346  11918 13.7  32 1 涟水
58141  3338  11901 14.5  32 1 淮安
58143  3348  11951 6.1  32 1 阜宁
58145  3332  11910 8.3  32 1 楚州
58146  3328  11946 7.4  32 1 建湖
58147  3259  11858 28.6  32 1 金湖
58148  3314  11918 11.4  32 1 宝应
58150  3346  12015 6.7  2 1 射阳
58154  3326  12012 7.2  32 1 盐城
58158  3312  12029 4.1  32 1 大丰
58202  3238  11535 37.3  32 1 阜南
58203  3252  11544 37.7  4 1 阜阳
58205  3228  11526 36.1  32 1 淮滨
58207  3210  11503 42.5  32 1 潢川
58208  3210  11537 42.4  16 1 固始
58210  3239  11614 25.6  32 1 颍上
58212  3243  11644 27.3  32 1 凤台
58214  3220  11617 37.4  32 1 霍邱
58215  3233  11647 23.5  16 1 寿县
58220  3228  11709 32.6  32 1 长丰
58221  3255  11724 22.8  4 1 蚌埠
58222  3251  11733 31.6  32 1 凤阳
58223  3247  11759 38.7  32 1 明光
58224  3239  11701 36.9  32 1 淮南
58225  3232  11740 76.8  32 1 定远
58230  3205  11816 34.5  32 1 全椒
58234  3228  11825 43.4  32 1 来安
58235  3222  11851 16.9  32 1 六合
58236  3218  11818 32.9  32 1 滁州
58237  3203  11837 22.8  32 1 浦口
58238  3156  11854 36.1  2 1 南京
58240  3241  11901 25.4  32 1 天长
58241  3248  11927 10.0  16 1 高邮
58242  3217  11911 14.9  32 1 仪征
58243  3256  11950 7.3  32 1 兴化
58244  3227  11935 10.3  32 1 江都
58245  3225  11925 14.7  32 1 扬州
58246  3231  11954 11.0  32 1 泰州
58247  3215  11949 5.8  32 1 扬中
58249  3210  12000 8.5  32 1 泰兴
58250  3231  12009 10.5  32 1 姜堰
58251  3251  12017 4.1  4 1 东台
58252  3211  11928 32.1  32 1 丹徒
58254  3231  12027 5.2  32 1 海安
58255  3222  12034 5.8  32 1 如皋
58257  3159  12015 12.6  32 1 靖江
58259  3205  12059 10.6  16 1 南通
58264  3220  12111 11.1  32 1 如东
58265  3204  12136 9.8  4 1 吕泗
58268  3206  12105 8.5  32 1 通州
